Player,Player_cleaned,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,player_name,height_in_cm,mean_market_value_per_player,player_name_cleaned
Cala,Cala,ESP,DF,Cádiz,La Liga,32,1989,14,10,947,10.5,0,0.48,0,0,0,0,9.3,0,0,0,73.2,508.4,147,4.57,5.62,81.4,10.4,12.9,80.7,5.71,9.71,58.8,0,0.1,0.95,0,0,0.95,28.4,26.8,1.62,1.52,0,1.71,0,0,0,0,0,0.1,20.8,0.29,0.1,0.29,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,1.43,0.76,1.14,0.29,0,0.76,1.33,57.1,0.57,1.62,0.76,0.86,2.19,3.62,5.43,0.1,39,6.95,23.4,16.4,0.95,0.67,37.5,18,93.5,44.6,0.57,0,0,0,0.1,17.8,0.1,0.76,0.1,0.1,0.95,0.76,0.1,0,0.1,0,8.29,2.67,1.52,63.6,Juan Cala,186,900000,Juan Cala
Calderón,Calderon,ESP,DF,Betis,La Liga,22,2000,1,0,65,0.7,0,0,0,0,0,0,0,0,0,0,91.5,1145.7,307.1,25.7,27.1,94.7,24.3,28.6,85,8.57,8.57,100,0,1.43,1.43,4.29,1.43,4.29,67.1,61.4,5.71,0,0,2.86,4.29,0,0,0,0,5.71,61.4,0,1.43,1.43,1.43,0,0,0,0,0,0,0,0,0,0,0,0,1.43,1.43,1.43,0,0,0,2.86,0,2.86,2.86,0,2.86,1.43,2.86,1.43,0,75.7,2.86,17.1,35.7,27.1,1.43,70,51.4,320,148.6,7.14,2.86,0,1.43,0,54.3,2.86,0,0,0,2.86,1.43,0,0,0,0,7.14,1.43,2.86,33.3,José Calderón,170,200000,Jose Calderon
Hakan Çalhanoðlu,Hakan Calhanodlu,TUR,MF,Inter,Serie A,28,1994,34,33,2480,27.6,0.25,2.28,0.54,23.8,0.06,0.27,22.9,0.33,0.11,0.11,81.8,1088.9,306.1,22.4,24.6,90.7,21.2,24.1,88.1,9.53,15.3,62.3,0.43,3.3,5.36,1.74,0.43,5.4,66.1,58.5,7.57,1.85,0.18,4.57,1.92,5.29,1.59,2.93,0.4,0.25,54.1,0.18,1.16,5.47,2.9,1.99,0.07,0.22,0.18,0.11,0.65,0.29,0.25,0,0.04,0.04,0.04,1.56,1.01,0.54,0.76,0.25,0.36,1.27,28.6,0.91,1.41,0.22,1.2,1.12,2.68,0.29,0,75.8,1.16,12.3,38.2,30,2.1,68,49.8,250.4,130.7,6.45,2.32,0.33,1.3,0.83,54.1,4.17,0.4,0,0,1.49,1.2,0,0.04,0,0,8.3,0.36,0.94,27.8,Hakan Çalhanoğlu,178,35000000,Hakan Calhanoglu
Álex Cantero,Alex Cantero,ESP,FWMF,Levante,La Liga,21,2000,25,4,610,6.8,0,2.35,0.74,31.3,0,0,15.4,0,0,0,69.9,217.6,65.9,7.35,9.85,74.6,5,6.47,77.3,0.74,1.47,50,0.15,0.44,0.74,0.88,0.44,2.06,19.6,18.8,0.74,0,0,0.88,1.32,0,0,0,0,0.29,13.7,0.15,1.62,2.65,1.91,0,0.15,0.44,0.15,0,0.59,0.59,0,0,0,0,0,1.62,1.18,0.88,0.29,0.44,0.59,1.18,50,0.59,0.59,0,0.59,0.15,1.76,0.29,0,30.4,0.59,4.56,13.2,15.6,4.41,29.9,21.3,121.3,82.1,3.24,1.47,0.59,2.21,1.62,22.5,6.47,0.15,0,0,2.06,0.74,0,0,0,0,3.97,0.29,2.94,9.1,Alejandro Cantero,184,1000000,Alejandro Cantero
Isaac Carcelen,Isaac Carcelen,ESP,DFMF,Cádiz,La Liga,29,1993,25,17,1544,17.2,0,0.7,0.23,33.3,0,0,24.6,0.06,0,0,75.3,600.5,223.8,13.6,15.7,86.7,14.5,17.6,82.8,3.72,7.67,48.5,0.06,0.64,2.44,0.76,0.41,2.79,43,34.2,8.78,1.22,0.06,0.93,1.69,0.29,0.06,0.23,0,7.27,32.4,0.06,1.69,1.34,0.87,0.06,0,0.23,0.12,0.06,0.06,0.06,0,0,0,0,0,2.97,1.4,2.09,0.7,0.17,1.63,3.43,47.5,1.8,2.56,0.35,2.21,2.38,5.35,2.67,0,56.8,4.01,19.4,26.7,13.4,0.93,48.1,30.8,158.3,91.2,3.26,1.28,0.12,0.81,1.34,26.7,1.22,0.12,0,0,1.57,1.51,0.06,0,0,0,9.36,1.1,1.4,44.2,Iza Carcelén,170,1500000,Iza Carcelen
Cárdenas,Cardenas,ESP,GK,Levante,La Liga,25,1997,24,24,2160,24,0,0,0,0,0,0,0,0,0,0,67.9,575.9,351.4,4.54,4.58,99.1,7.92,8,99,7.17,16.6,43.1,0,0.04,0.54,0,0,0,30,18.9,11.1,3,0,0.96,0,0,0,0,0,0.04,20.3,0.08,0.04,0.17,0.13,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0,0,0,0,0,0,0.08,33,29.6,32.8,0.29,0,0,22.1,13.7,56.5,32.8,0,0,0,0,0,12.7,0,0.13,0,0,0,0.17,0,0,0,0,4.25,0,0,0,Dani Cárdenas,186,1500000,Dani Cardenas
Carlo,Carlo,ESP,MF,Villarreal,La Liga,21,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,100,860,240,0,0,0,40,40,100,0,0,0,0,0,10,10,0,20,40,40,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,10,40,10,0,50,40,370,340,30,10,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carlo García,182,400000,Carlo Garcia
Carmona,Carmona,ESP,DF,Sevilla,La Liga,20,2002,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,50,526.7,163.3,3.33,6.67,50,6.67,16.7,40,10,13.3,75,0,0,6.67,0,0,3.33,40,23.3,16.7,3.33,0,0,0,0,0,0,0,13.3,20,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,3.33,3.33,0,50,10,30,16.7,3.33,3.33,33.3,23.3,110,96.7,10,0,3.33,0,0,13.3,0,0,0,0,0,3.33,0,0,0,0,10,0,3.33,0,José Ángel Carmona,184,2600000,Jose Angel Carmona
Dani Carvajal,Dani Carvajal,ESP,DF,Real Madrid,La Liga,30,1992,24,17,1551,17.2,0.06,0.58,0.12,20,0.1,0.5,19.7,0,0,0,86.3,1082.8,291.5,27.7,30.3,91.4,23.9,27.2,88,7.79,10.2,76.1,0.17,1.51,2.62,1.57,0.47,3.95,70.1,60.8,9.24,1.05,0.06,1.4,2.33,0,0,0,0,8.2,60.5,0.17,1.16,2.21,2.03,0,0.06,0,0,0.12,0.35,0.29,0,0.06,0,0,0,2.03,1.28,0.87,0.7,0.47,0.7,1.8,38.7,1.1,1.92,0.52,1.4,1.98,4.01,2.03,0.12,79.9,4.65,23.3,33.3,27.2,2.33,71.1,48.8,198.8,98.4,4.24,1.63,0.35,0.7,0.76,53.1,3.43,0.06,0,0,1.45,0.64,0,0,0.06,0,7.97,0.87,0.99,46.9,Daniel Carvajal,173,18000000,Daniel Carvajal
Jonny Castro,Jonny Castro,ESP,DF,Wolves,Premier League,28,1994,13,10,1024,11.4,0.18,0.88,0.44,50,0.2,0.4,18.9,0,0,0,84.3,784.2,229.5,20.3,22.8,88.8,18.7,21.4,87.3,4.65,6.23,74.6,0,0.88,1.75,0.79,0.35,2.72,52.6,44,8.6,0.79,0.09,0.61,0.88,0,0,0,0,7.81,44.4,0,1.4,1.58,1.4,0,0,0,0.09,0.09,0,0,0,0,0,0,0,2.37,1.84,1.32,0.96,0.09,0.88,1.75,50,0.88,1.67,0.26,1.4,1.14,3.51,0.61,0,64.8,2.11,18,32.7,18,1.93,56.7,41.8,189.5,106.7,5.09,1.05,0.44,1.58,2.02,42,3.07,0.09,0,0,0.96,1.58,0,0,0,0,7.54,0.96,0.96,50,Jonny Otto,175,16000000,Jonny Otto
