Player,Player_cleaned,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,player_name,height_in_cm,mean_market_value_per_player,player_name_cleaned
Mickaël Cuisance,Mickael Cuisance,FRA,MF,Bayern Munich,Bundesliga,22,1999,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,90.9,2150,620,40,40,100,10,10,100,40,50,80,0,10,30,0,0,30,110,110,0,0,0,0,0,0,0,0,0,0,100,0,0,40,30,0,0,0,0,10,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,130,0,40,70,30,20,130,90,920,340,10,0,0,0,10,100,10,0,0,0,0,0,0,0,0,0,20,0,0,0,Michaël Cuisance,181,4000000,Michael Cuisance
Lennart-Marten Czyborra,Lennart-Marten Czyborra,GER,DF,Arminia,Bundesliga,23,1999,4,1,131,1.5,0,0,0,0,0,0,0,0,0,0,50.9,349.3,145.3,9.33,12,77.8,6.67,14.7,45.5,3.33,8,41.7,0,0,2,0.67,0.67,2,38,24.7,13.3,1.33,0,0,2,0,0,0,0,12,19.3,0,3.33,0.67,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.67,0.67,0,0,0,1.33,0,1.33,0,0,0,4,4.67,2,0.67,46,3.33,13.3,22.7,12,0,32.7,20,104.7,63.3,2,0,0,0.67,1.33,17.3,0.67,0.67,0,0,4,0,0,0,0,0,5.33,0,0.67,0,Lennart Czyborra,181,2300000,Lennart Czyborra
Moanes Dabbur,Moanes Dabbur,ISR,FWMF,Hoffenheim,Bundesliga,30,1992,27,17,1310,14.6,0.21,2.26,0.62,27.3,0.09,0.33,12,0,0,0,74.9,358,93.5,14,17.6,79.8,8.01,9.79,81.8,1.3,2.4,54.3,0.27,1.23,1.58,0.75,0.21,2.12,33,30.7,2.33,0.07,0.27,0.21,0.68,0.07,0.07,0,0,0.21,24.7,0,1.44,2.33,1.78,0,0.07,0.27,0.07,0.14,0.48,0.41,0,0,0,0,0.07,1.1,0.89,0.14,0.41,0.55,0.14,0.62,22.2,0.48,0.75,0.14,0.62,0.96,2.05,0.27,0.07,47.1,0.34,4.18,23.2,21.8,6.23,44.8,29.9,91.1,47,2.47,0.89,0.48,2.6,3.36,33.4,7.4,0.34,0,0,2.19,1.64,0.14,0,0,0,6.71,1.1,2.81,28.1,Munas Dabbur,182,4000000,Munas Dabbur
Konrad De La Fuente,Konrad De La Fuente,USA,FWDF,Marseille,Ligue 1,20,2001,16,9,785,8.7,0,1.72,0.46,26.7,0,0,17.1,0,0,0,78.7,340.2,73.6,12.1,13.6,89,7.93,9.54,83.1,1.26,2.53,50,0.23,1.26,0.8,1.61,0.46,1.95,27.5,26,1.49,0.11,0.11,0.46,2.87,0,0,0,0,1.38,21.6,0.11,1.38,2.41,1.95,0,0.34,0.11,0,0,0.57,0.34,0,0.11,0.11,0,0,0.92,0.92,0.57,0.34,0,0.8,1.03,77.8,0.23,1.61,0,1.61,0.69,1.61,0.46,0,40,0.46,5.29,10.6,28.6,6.21,38.5,32.1,194,144,8.16,1.84,1.84,1.26,3.22,29,5.75,0.11,0,0,0.34,0.69,0.11,0,0,0,4.25,0.46,0.8,36.4,Konrad de la Fuente,176,6000000,Konrad de la Fuente
Rodrigo De Paul,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,28,1994,36,24,2151,23.9,0.13,0.96,0.38,39.1,0.13,0.33,22.4,0,0,0,79.2,965.7,313.6,19,21.4,88.5,17.9,20.5,87.3,8.91,14.9,59.8,0.04,2.18,6.4,1.72,0.29,6.23,59.4,53.6,5.77,2.97,0.25,4.02,1.51,1.88,0.33,1.26,0.08,0.79,47.1,0.33,1.55,3.56,2.38,0.96,0.04,0.04,0.04,0.08,0.21,0.17,0.04,0,0,0,0,2.34,1.26,0.92,1.05,0.38,0.96,2.09,46,1.13,1.46,0.13,1.34,1.3,3.64,0.79,0,70.6,1.13,13.1,44.1,18.2,0.75,65.5,50.6,275.5,146.5,6.69,2.09,0.25,1.26,1.05,49.5,2.05,0.29,0,0,2.01,2.89,0.04,0,0,0,8.79,0.54,1.17,31.7,Rodrigo de Paul,180,37500000,Rodrigo de Paul
Kiernan Dewsbury Hall,Kiernan Dewsbury Hall,ENG,MF,Leicester City,Premier League,23,1998,28,23,2105,23.4,0.04,0.9,0.13,14.3,0.05,0.33,20.7,0.04,0,0,77.1,681.2,173.9,19.7,22.6,87,16,19.9,80.3,3.63,7.31,49.7,0.13,1.45,4.06,1.15,0.17,4.19,52.1,50.1,2.05,0.56,0,1.67,2.14,1.07,0.85,0,0,0.38,40.2,0.26,1.71,2.82,2.09,0.13,0.17,0.13,0.21,0.09,0.26,0.21,0.04,0,0,0,0,1.71,1.07,1.03,0.51,0.17,0.56,1.5,37.1,0.94,1.97,0.34,1.62,1.15,2.86,1.2,0.04,64.5,2.05,14.1,33.8,21.8,1.84,62.6,45.3,278.9,157.6,6.15,2.35,0.26,1.67,2.14,46.3,4.06,0.17,0,0,1.2,1.75,0,0,0,0,8.97,0.98,1.11,46.9,Kiernan Dewsbury-Hall,178,11500000,Kiernan Dewsbury-Hall
Mouhamadou Diarra,Mouhamadou Diarra,SEN,MF,Strasbourg,Ligue 1,18,2004,4,1,109,1.2,0,0,0,0,0,0,0,0,0,0,86.4,930.8,144.2,13.3,13.3,100,17.5,20.8,84,11.7,13.3,87.5,0,0,5,0,0,2.5,49.2,49.2,0,0,0,1.67,0,0,0,0,0,0,42.5,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,2.5,2.5,0.83,0,0.83,0.83,100,0,0,0,0,2.5,5.83,1.67,0,59.2,0.83,7.5,45,10,0,59.2,40.8,177.5,69.2,3.33,0.83,0,0,2.5,41.7,0.83,0.83,0,0,1.67,0.83,0,0,0,0,7.5,0.83,1.67,33.3,Mamadou Diarra,184,1200000,Mamadou Diarra
Javier Díaz,Javier Diaz,ESP,GK,Sevilla,La Liga,25,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,84.8,788,344,5,5,100,12,12,100,11,16,68.8,0,0,0,0,0,0,33,27,6,3,0,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,31,34,0,0,0,28,22,59,19,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Javi Díaz,185,500000,Javi Diaz
Elhadji Dieye,Elhadji Dieye,SEN,MFFW,Saint-Étienne,Ligue 1,19,2002,5,0,34,0.4,0,5,0,0,0,0,18.1,0,0,0,44.4,105,67.5,10,20,50,0,0,0,0,2.5,0,0,0,0,0,0,0,22.5,17.5,5,0,0,2.5,2.5,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,7.5,2.5,0,2.5,5,50,2.5,5,0,5,5,15,0,0,55,2.5,12.5,25,20,10,50,25,180,120,5,2.5,2.5,2.5,2.5,27.5,5,0,0,0,2.5,5,2.5,0,0,0,5,2.5,0,100,El Hadji Dieye,182,250000,El Hadji Dieye
Bryan Djile Nokoué,Bryan Djile Nokoue,CMR,DFMF,Saint-Étienne,Ligue 1,20,2002,2,0,57,0.6,0,0,0,0,0,0,0,0,0,0,75.9,725,208.3,13.3,15,88.9,18.3,20,91.7,5,10,50,0,0,1.67,0,0,1.67,48.3,33.3,15,1.67,0,1.67,1.67,0,0,0,0,13.3,36.7,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,3.33,3.33,1.67,1.67,0,0,0,0,1.67,0,1.67,1.67,8.33,0,0,63.3,3.33,28.3,23.3,13.3,1.67,48.3,35,46.7,16.7,0,0,0,3.33,3.33,28.3,3.33,0,0,0,0,1.67,0,0,0,0,8.33,0,0,0,Bryan Nokoue,180,200000,Bryan Nokoue
Lee Dongjun,Lee Dongjun,KOR,MF,Hertha BSC,Bundesliga,25,1997,4,1,118,1.3,0,2.31,0.77,33.3,0,0,12,0,0,0,72.2,94.6,27.7,9.23,9.23,100,0.77,3.08,25,0,0.77,0,0,0,0.77,0,0,0,13.8,13.8,0,0,0,0,1.54,0,0,0,0,0,10,0,0.77,1.54,0.77,0,0,0.77,0,0,0.77,0.77,0,0,0,0,0,1.54,0.77,0,1.54,0,0.77,1.54,50,0.77,2.31,0,2.31,1.54,3.08,0,0,36.2,0,5.38,14.6,19.2,5.38,36.2,22.3,62.3,41.5,2.31,0,0.77,3.08,2.31,20.8,6.92,0,0,0,1.54,2.31,0.77,0,0,0,8.46,0,0.77,0,Dong-jun Lee,173,1200000,Dong-jun Lee
Gabriel Dos Santos,Gabriel Dos Santos,BRA,DF,Arsenal,Premier League,24,1997,35,35,3063,34,0.15,0.88,0.35,40,0.17,0.42,11,0,0,0,89.7,1089.9,295.1,15.7,16.6,94.7,29.5,31,95.1,7.03,10.3,68.3,0,0.24,3.26,0.03,0,2.44,58.9,57.1,1.74,1.06,0.03,1.12,0.12,0,0,0,0,0.12,52.8,0.18,0.38,0.65,0.59,0,0,0.03,0,0.03,0.03,0.03,0,0,0,0,0,1.68,1.09,1.15,0.41,0.12,0.68,1.03,65.7,0.35,1.44,0.82,0.62,1.15,2.82,3.44,0.09,67.6,10.9,35.1,34.5,3.15,1.24,66.1,47.4,289.6,162.3,4.24,0.71,0,0.24,0.09,50.1,0.24,0.24,0.03,0.03,0.71,1.26,0.03,0,0,0,7.35,2,1.12,64.2,Gabriel Magalhães,190,38000000,Gabriel Magalhaes
Lucas Douath,Lucas Douath,FRA,MF,Saint-Étienne,Ligue 1,18,2003,31,20,1804,20,0.05,0.6,0.1,16.7,0.08,0.5,16.1,0,0,0,88.6,723.4,144.1,15.8,17.7,89,16.1,17.4,92.5,5.4,6.45,83.7,0,0.4,3.4,0.2,0.05,2.2,43.1,42,1.05,0.65,0,1.8,0.4,0,0,0,0,0.4,38.2,0.05,0.55,1.3,1.05,0.05,0.1,0,0,0.1,0,0,0,0,0,0,0,2.9,1.85,1.45,1.25,0.2,0.65,1.55,41.9,0.9,1.35,0.15,1.2,1.35,4.25,0.65,0.05,53,1.95,14.4,33.5,9.4,0.65,52.2,38.2,236.2,103.3,3.9,1.2,0.1,1.15,1.1,33.6,1.2,0.35,0,0,2,1.4,0,0,0.05,0,11.3,0.9,1.05,46.2,Lucas Gourna-Douath,185,10000000,Lucas Gourna-Douath
Elif Elmas,Elif Elmas,MKD,FWMF,Napoli,Serie A,22,1999,37,12,1620,18,0.17,1.78,0.67,37.5,0.09,0.25,17.5,0,0,0,86.8,569.3,115.6,24.6,27.1,90.6,11.8,13.1,90.3,2.06,3.28,62.7,0.22,1.17,2.5,1.11,0.11,2,45.8,44.1,1.67,0.39,0,0.72,0.44,0.5,0.17,0.11,0,0.39,39.7,0.22,0.78,2.78,2.06,0.11,0.22,0.06,0.17,0.17,0.5,0.33,0.06,0,0,0.06,0.06,1.11,0.67,0.39,0.39,0.33,0.61,1.5,40.7,0.89,1.06,0.11,0.94,0.83,1.94,0.83,0,55.7,1.39,7.22,28.9,24.3,3.28,54.1,42.5,246.1,140.9,7.33,2.56,1.11,1.17,1.83,45.1,4.39,0.17,0,0,1.56,1.67,0.11,0.06,0,0,4.83,0.44,1.39,24.2,Eljif Elmas,182,24000000,Eljif Elmas
Sepe Elye Wahi,Sepe Elye Wahi,FRA,FW,Montpellier,Ligue 1,19,2003,33,21,1786,19.8,0.51,2.17,1.01,46.5,0.23,0.5,12.6,0,0,0,66.7,107.7,22.5,5.35,7.02,76.3,2.12,3.38,62.7,0.25,0.81,31.3,0.05,0.61,0.4,0.2,0.05,0.45,12.7,12.2,0.56,0,0,0.1,0.76,0,0,0,0,0.05,8.48,0.1,0.56,1.36,0.81,0,0.1,0,0.35,0.1,0.3,0.2,0,0,0,0.05,0.05,1.16,0.71,0.45,0.4,0.3,0.15,0.86,17.6,0.71,0.91,0.05,0.86,0.3,1.46,0.15,0,23.1,0.45,3.13,8.59,12.7,4.34,22.6,14.5,68.5,45.2,2.42,0.45,0.96,2.93,1.31,16.4,5.45,0.1,0,0,1.01,1.41,1.06,0.1,0,0,3.08,0.71,2.83,20,Elye Wahi,181,13000000,Elye Wahi
Adri Embarba,Adri Embarba,ESP,FWMF,Espanyol,La Liga,30,1992,32,24,1986,22.1,0,2.22,0.72,32.7,0,0,22.9,0.68,0,0,61.8,382.4,120.3,11.4,14.1,81,7.01,10.8,65.1,2.85,8.46,33.7,0.09,1.63,1.04,1.04,0.54,1.63,35.9,29,6.92,1.81,0,1.72,3.48,4.84,1.58,1.95,0.09,0.27,22.2,0.27,2.13,3.67,1.72,1.04,0.36,0.18,0.23,0.14,0.27,0.09,0.14,0,0.05,0,0,1.9,1.13,0.95,0.54,0.41,0.63,2.13,29.8,1.49,1.9,0.14,1.76,1.31,3.21,1.22,0,51.3,1.9,8.51,19.7,27.4,2.35,44,30.9,185.1,109,5.93,1.9,0.81,2.31,2.13,29.9,4.34,0.18,0,0,1.76,2.44,0.27,0,0,0,7.06,0.9,1.49,37.7,Adrián Embarba,173,4000000,Adrian Embarba
Oghenekaro Etebo,Oghenekaro Etebo,NGA,MF,Watford,Premier League,26,1995,9,4,401,4.5,0,0.67,0,0,0,0,30.9,0,0,0,89.8,731.1,162.7,7.33,8,91.7,17.3,18.7,92.9,6.67,8,83.3,0,0.44,2.44,0.67,0.22,2.67,34.9,32.7,2.22,2.22,0,2,0.22,0,0,0,0,0,31.3,0.22,0.22,0.89,0.89,0,0,0,0,0,0,0,0,0,0,0,0,2.67,2.22,1.11,1.56,0,0.89,1.56,57.1,0.67,1.11,0.22,0.89,1.78,4.44,1.33,0,43.1,3.11,14.7,27.3,4,0,41.1,33.6,144.4,64.9,2.22,0.44,0,0.22,0.89,25.8,0.67,0.67,0,0,2,0.89,0,0,0,0,7.78,0.44,0.44,50,Peter Etebo,174,1750000,Peter Etebo
Abdessamad Ezzalzouli,Abdessamad Ezzalzouli,MAR,FWDF,Barcelona,La Liga,20,2001,10,6,580,6.4,0.16,2.5,0.47,18.8,0.06,0.33,16.2,0,0,0,73,278.6,44.1,16.4,19.1,86.1,3.28,5.31,61.8,1.09,2.34,46.7,0,0.78,0.31,0.47,0.16,1.41,29.5,28.8,0.78,0.16,0,0.63,3.28,0.16,0,0,0,0.47,21.6,0,1.41,1.72,0.94,0,0.31,0.16,0.16,0.16,0.16,0,0,0,0.16,0,0,2.34,1.56,1.41,0.63,0.31,0.78,1.25,62.5,0.47,0.94,0,0.94,1.72,4.06,0,0,47.8,0,7.19,15.9,30.5,9.38,47,42.7,284.2,194.1,9.22,2.66,3.59,3.75,3.44,35.8,7.81,0.63,0,0,2.66,2.97,0.31,0,0,0,5.78,0.47,2.19,17.6,Abde Ezzalzouli,177,8000000,Abde Ezzalzouli
Wahidullah Faghir,Wahidullah Faghir,DEN,FW,Stuttgart,Bundesliga,18,2003,6,0,123,1.4,0.71,4.29,0.71,16.7,0.17,1,15.5,0,0,0,63.6,182.1,39.3,11.4,13.6,84.2,2.86,5.71,50,0,2.14,0,0,0,1.43,0.71,0,2.86,23.6,22.9,0.71,0.71,0,0,0,0,0,0,0,0,15,0,0,2.86,0.71,0,1.43,0,0,0.71,0.71,0,0,0.71,0,0,0,0.71,0,0,0.71,0,0,0,0,0,0.71,0,0.71,0.71,1.43,0.71,0,39.3,0,0.71,18.6,22.9,5,39.3,28.6,106.4,33.6,2.14,2.14,0.71,4.29,0.71,33.6,15,0,0,0,0,2.14,1.43,0,0,0,1.43,2.86,2.86,50,Wahid Faghir,186,3000000,Wahid Faghir
Ohis Felix Uduokhai,Ohis Felix Uduokhai,GER,DF,Augsburg,Bundesliga,24,1997,13,8,787,8.7,0,0.23,0,0,0,0,13.1,0,0,0,80,832.3,288.5,11.1,13.3,83.6,20.1,22.3,90.2,6.55,11.3,58.2,0,0.11,2.99,0.46,0,2.76,47.6,44.9,2.64,1.03,0,1.15,0.11,0,0,0,0,1.49,38,0.11,0.92,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0.69,0.92,0.57,0,0.8,1.95,41.2,1.15,1.95,0.92,1.03,2.18,3.68,5.29,0,58.4,9.31,35.1,24.4,2.41,0.34,56.1,35.7,215.3,91.6,1.49,0.46,0,0.23,0.34,36.3,0.23,0.11,0,0,1.15,0.92,0,0,0,0,7.93,3.45,1.38,71.4,Felix Uduokhai,192,10000000,Felix Uduokhai
Salvador Ferrer,Salvador Ferrer,ESP,DFMF,Spezia,Serie A,24,1998,27,14,1495,16.6,0,0.36,0.06,16.7,0,0,23.5,0,0,0,78,700.8,245.1,14.1,16.5,85.4,15.2,18.4,82.4,5.84,9.04,64.7,0.18,1.02,2.71,1.08,0.66,3.13,45.4,37.9,7.53,0.72,0,1.57,1.99,0.18,0.06,0.12,0,6.63,35.4,0.06,1.57,1.75,1.45,0.24,0.06,0,0,0,0.3,0.3,0,0,0,0,0,2.17,1.39,1.27,0.66,0.24,1.02,2.17,47.2,1.14,2.47,0.72,1.75,1.51,3.67,2.71,0,55.4,4.34,18.4,27,13.3,0.54,48.1,29.6,148.9,84.3,3.19,1.27,0.18,0.66,0.72,30.1,1.57,0.18,0,0,0.78,0.66,0,0,0,0,8.07,1.99,1.81,52.4,Salva Ferrer,184,1300000,Salva Ferrer
Pablo Galdames Millán,Pablo Galdames Millan,CHI,MF,Genoa,Serie A,25,1996,19,11,1028,11.4,0,1.05,0.26,25,0,0,21.9,0,0,0,73,572.8,183.6,11.7,13.8,84.7,12.1,15.5,78,4.3,8.07,53.3,0,1.14,1.84,0.7,0.18,3.51,39.3,36,3.33,2.19,0.09,2.19,1.4,0.7,0.18,0.53,0,0.35,28.7,0.18,0.96,2.28,1.4,0.61,0.09,0,0.09,0.09,0,0,0,0,0,0,0,2.63,1.58,0.61,1.23,0.79,1.4,3.25,43.2,1.84,1.67,0.26,1.4,1.32,3.95,0.7,0,49.6,1.93,8.95,30,12.6,1.4,46.5,30.5,101.8,42,2.02,0.96,0.18,0.53,1.49,29.1,2.19,0.18,0,0,2.02,1.14,0.26,0,0,0,9.74,0.7,1.58,30.8,Pablo Galdames,176,3000000,Pablo Galdames
Idrissa Gana Gueye,Idrissa Gana Gueye,SEN,MF,Paris S-G,Ligue 1,32,1989,26,18,1641,18.2,0.16,1.32,0.38,29.2,0.13,0.43,22.3,0,0,0,93.4,1189.7,285.9,34.7,36.5,95.2,28.8,30.4,94.6,5.77,6.54,88.2,0.05,0.82,7.14,0.44,0.05,4.78,76.3,74.7,1.59,1.21,0.22,0.77,0.22,0.05,0,0,0,0.33,71.2,0.22,0.77,1.81,1.59,0.05,0,0.05,0.05,0.05,0.22,0.22,0,0,0,0,0,3.35,2.25,1.37,1.04,0.93,0.6,2.42,25,1.81,1.15,0.22,0.93,2.03,5.38,0.66,0.05,86.4,1.81,17,56.6,18.5,0.99,84.9,64.9,286,132.6,5.44,1.48,0,0.55,1.43,68,2.64,0.22,0,0,2.47,0.88,0.05,0,0,0,8.35,0.55,0.88,38.5,Idrissa Gueye,174,11000000,Idrissa Gueye
Francisco Garcia,Francisco Garcia,ESP,DF,Rayo Vallecano,La Liga,22,1999,34,34,3025,33.6,0.03,0.74,0.24,32,0.04,0.13,23.5,0,0,0,78.7,723.1,261.9,17,18.7,91.2,18,21.8,82.8,4.14,8.13,50.9,0,0.83,2.83,1.07,0.65,3.3,50.4,39.6,10.8,0.6,0,0.8,2.95,0.06,0.03,0.03,0,10.1,39.7,0.12,1.7,1.55,1.19,0.24,0.03,0.06,0,0.03,0.03,0.03,0,0,0,0,0,1.7,0.98,1.16,0.48,0.06,1.04,2.29,45.5,1.25,2.26,0.24,2.02,2.11,3.81,1.93,0,61,3.36,20.1,28.8,17.7,0.98,50.3,34.5,260.5,168.4,7.5,2.89,0.42,1.19,0.65,32.5,2.14,0.12,0,0,0.83,0.54,0.06,0,0,0,8.33,0.89,1.31,40.5,Fran García,169,7500000,Fran Garcia
Dimitris Giannoulis,Dimitris Giannoulis,GRE,DF,Norwich City,Premier League,26,1995,18,14,1169,13,0,0.23,0.15,66.7,0,0,18.7,0,0,0,73.6,668.1,273.2,19.3,22.5,85.7,17.5,21.8,80.2,2.62,8,32.7,0.08,0.62,1.54,1,0.08,3.31,54.2,44.3,9.92,0.69,0,0.62,2.31,0.31,0.31,0,0,8.92,39.9,0.15,1.54,1.31,1.08,0.08,0,0,0.15,0,0.15,0.15,0,0,0,0,0,3.08,1.77,1.69,1.23,0.15,1.69,2.69,62.9,1,2.92,0.46,2.46,2.77,5.85,2.38,0,67.8,5.46,27.5,29.5,15.2,1.08,57.9,42,223.2,137.2,5.08,1.23,0.31,1.38,0.69,36.5,2.08,0.15,0,0,1.38,2,0,0,0,0,9.15,0.77,0.69,52.6,Dimitrios Giannoulis,178,5000000,Dimitrios Giannoulis
Toti Gomes,Toti Gomes,POR,DF,Wolves,Premier League,23,1999,4,4,360,4,0,0.25,0,0,0,0,8,0,0,0,74.3,648.8,244.3,14.3,16.8,85.1,16.8,20,83.8,3.75,10,37.5,0,0,2.5,0,0,2.5,47.8,47.3,0.5,0.25,0,0.25,0.25,0,0,0,0,0.25,35.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0.75,1.5,0.25,0,0.75,2,37.5,1.25,2.5,0.5,2,2.5,4.25,5,0,60.3,8,31,29.3,4,1,59.8,33.5,175.3,91,2.5,0.75,0,0,0.25,35.5,0.25,0.25,0,0,0.5,0.75,0.25,0,0,0,10.5,3.75,2.75,57.7,Toti,187,1500000,Toti
Roberto González,Roberto Gonzalez,ESP,FWMF,Betis,La Liga,21,2001,4,1,135,1.5,0,1.33,0,0,0,0,16.8,0,0,0,76.9,273.3,57.3,12.7,14.7,86.4,5.33,8,66.7,0.67,1.33,50,0,0,0.67,0,0,1.33,26,24.7,1.33,0.67,0,0,1.33,0,0,0,0,0.67,20,0,0,0.67,0,0,0,0.67,0,0,0,0,0,0,0,0,0,2.67,1.33,1.33,1.33,0,2,4,50,2,4.67,0,4.67,1.33,4,0,0,41.3,0.67,5.33,22,16,2.67,40.7,31.3,139.3,60.7,2,0,0,2.67,1.33,28.7,4.67,0,0,0,1.33,2.67,0,0,0,0,2.67,0.67,0.67,50,Rober González,169,2000000,Rober Gonzalez
Andrew Gravillon,Andrew Gravillon,FRA,DF,Reims,Ligue 1,24,1998,26,24,2135,23.7,0,0.68,0.17,25,0,0,20,0.08,0,0,76.6,666.5,275.1,9.41,11,85.4,15.1,18.5,82,5.61,9.37,59.9,0,0.42,2.57,0.38,0.08,2.83,39.8,34.7,5.11,1.94,0,1.94,0.46,0,0,0,0,3.04,30.5,0.08,0.8,0.76,0.63,0.04,0,0.04,0,0.04,0.08,0.08,0,0,0,0,0,1.22,0.89,0.76,0.46,0,0.55,0.97,56.5,0.42,1.48,0.68,0.8,2.19,3.42,3.84,0.04,50.6,6.46,25.8,22.1,5.49,0.59,45.6,28.5,136.1,83.9,2.41,0.55,0,0.59,0.38,29.4,0.3,0.38,0.08,0.08,1.56,0.89,0,0,0.04,0,6.16,1.31,0.84,60.8,Andreaw Gravillon,188,6500000,Andreaw Gravillon
Arnaut Groeneveld,Arnaut Groeneveld,NED,FW,Villarreal,La Liga,25,1997,23,17,1472,16.4,0.61,3.6,1.52,42.4,0.12,0.28,14.7,0.12,0.18,0.18,74.7,249,53.2,11.3,13.2,85.3,5.12,7.26,70.6,0.67,1.59,42.3,0.18,0.79,0.3,0.98,0.24,1.46,23.4,21.8,1.65,0.06,0.06,0.67,2.01,0.73,0.37,0,0,0.24,17.5,0.12,0.98,2.2,1.28,0,0.55,0.24,0.06,0.06,0.49,0.24,0,0.18,0.06,0,0,0.43,0.18,0.18,0,0.24,0.12,0.37,33.3,0.24,0.49,0.06,0.43,0.12,0.55,0.06,0,34.9,0.3,2.38,10.3,24.9,8.17,33,27.4,142.7,96.6,5.79,1.22,2.07,1.77,1.34,27.3,9.21,0.06,0,0,0.18,1.16,1.04,0,0,0,4.09,0.12,0.85,12.5,Arnaut Danjuma,178,50000000,Arnaut Danjuma
Noah Guede-Nadje,Noah Guede-Nadje,FRA,FW,Angers,Ligue 1,18,2003,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Guédé Nadje,184,200000,Guede Nadje
Sehrou Guirassy,Sehrou Guirassy,GUI,FW,Rennes,Ligue 1,26,1996,37,7,1016,11.3,0.8,3.98,1.5,37.8,0.2,0.53,12.6,0,0,0,80.5,320.7,29.7,13.4,15.4,86.8,5.58,7.7,72.4,1.77,2.3,76.9,0,0.18,0.71,0.53,0,0.97,26.7,25,1.68,0.09,0,0.62,0.18,0,0,0,0,0.09,21.5,0.09,0.35,1.77,1.15,0,0.09,0.35,0.18,0,0.09,0.09,0,0,0,0,0,0.71,0.44,0.18,0.27,0.27,0,0.44,0,0.44,0.53,0.18,0.35,0.18,0.88,0.53,0,41.3,0.62,2.83,20.5,20.4,6.55,39.7,26.4,117.3,43.6,1.77,0.44,0.27,2.74,2.65,33,9.82,0.09,0,0,1.95,3.45,0.35,0,0,0,4.07,3.63,3.27,52.6,Serhou Guirassy,187,10000000,Serhou Guirassy
Ýlkay Gündoðan,Ylkay Gundodan,GER,MF,Manchester City,Premier League,31,1990,27,20,1857,20.6,0.39,2.67,0.87,32.7,0.15,0.44,13.9,0.1,0,0,87.5,988.2,194.2,28.4,30.2,94.2,19.9,22,90.3,6.8,9.51,71.4,0.19,1.8,3.79,1.31,0.1,4.08,64.3,60.3,4.03,1.12,0.24,2.18,1.17,2.57,1.36,0.49,0.05,0.15,56.3,0.1,1.41,3.45,2.52,0.58,0.24,0.05,0,0.05,0.34,0.29,0,0.05,0,0,0,1.02,0.53,0.44,0.53,0.05,0.44,1.21,36,0.78,0.92,0.15,0.78,1.31,2.33,0.49,0,73.4,1.17,8.4,40,30.1,4.56,69.4,50.4,257,116.9,6.41,2.33,0.68,0.87,1.26,58.3,5.83,0.05,0,0,0.83,0.83,0.1,0,0,0,6.41,0.63,0.73,46.4,İlkay Gündoğan,180,25000000,Ilkay Gundogan
