Player,Player_cleaned,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,player_name,height_in_cm,mean_market_value_per_player,player_name_cleaned
Henrique,Henrique,BRA,DF,Lyon,Ligue 1,28.0,1994,18,12,1105,12.3,0.0,0.41,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,86.7,875.0,265.4,31.1,33.8,92.1,21.5,24.6,87.5,3.01,5.04,59.7,0.08,0.81,1.79,0.73,0.33,3.01,65.9,56.3,9.59,0.65,0.0,0.16,1.54,0.08,0.0,0.0,0.0,8.86,57.1,0.24,1.06,1.38,1.3,0.0,0.0,0.0,0.08,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,1.71,0.89,1.22,0.33,0.16,0.41,1.3,31.3,0.89,1.95,0.16,1.79,1.54,3.25,1.54,0.0,75.4,1.71,20.4,41.4,18.9,1.71,66.1,48.6,224.2,134.1,5.53,2.03,0.41,0.57,1.14,49.0,1.79,0.24,0.0,0.0,1.3,1.3,0.0,0.0,0.0,0.0,8.78,2.03,0.98,67.6,,,,
Dalbert Henrique,Dalbert Henrique,BRA,DFMF,Cagliari,Serie A,28.0,1993,28,27,2081,23.1,0.0,0.43,0.04,10.0,0.0,0.0,16.7,0.0,0.0,0.0,71.3,529.3,195.6,9.57,11.7,81.5,11.6,15.1,76.5,4.5,8.18,55.0,0.09,1.26,1.65,0.87,0.48,2.55,36.7,28.1,8.53,0.69,0.04,1.39,2.21,0.56,0.13,0.17,0.0,7.27,26.1,0.09,1.56,2.16,1.47,0.52,0.04,0.04,0.04,0.04,0.17,0.09,0.04,0.0,0.04,0.0,0.0,2.25,1.21,1.21,0.78,0.26,0.26,1.26,20.7,1.0,2.12,0.3,1.82,1.43,3.68,1.3,0.0,47.7,2.34,11.3,22.5,16.3,1.21,39.3,24.0,108.7,62.8,3.29,0.95,0.13,1.34,1.13,23.5,2.86,0.39,0.0,0.0,1.9,1.26,0.17,0.0,0.09,0.0,7.01,1.65,1.86,46.9,,,,
Son Heung-min,Son Heung-min,KOR,FWMF,Tottenham,Premier League,29.0,1992,35,35,3006,33.4,0.69,2.57,1.41,54.7,0.27,0.49,15.4,0.06,0.0,0.0,76.3,434.5,105.7,15.9,17.6,90.1,8.92,10.8,82.8,2.31,6.14,37.6,0.21,2.13,1.05,1.35,0.12,2.28,36.6,30.3,6.35,1.23,0.09,1.11,1.95,4.7,1.77,1.74,0.12,0.18,27.9,0.12,1.23,3.86,2.25,1.05,0.12,0.24,0.18,0.03,0.45,0.24,0.12,0.0,0.0,0.09,0.0,0.57,0.36,0.21,0.27,0.09,0.15,0.78,19.2,0.63,0.96,0.24,0.72,0.87,1.44,0.33,0.0,47.2,0.42,4.82,18.7,27.2,5.0,41.0,32.4,198.6,110.2,5.54,1.98,1.59,1.77,1.98,32.7,7.66,0.06,0.0,0.0,0.51,1.38,0.48,0.06,0.0,0.0,5.03,0.45,1.44,23.8,,,,
Daan Heymans,Daan Heymans,BEL,MFFW,Venezia,Serie A,22.0,1999,7,2,256,2.8,0.0,1.07,0.36,33.3,0.0,0.0,13.2,0.0,0.0,0.0,81.4,484.6,96.4,12.1,15.0,81.0,13.2,15.0,88.1,2.5,3.57,70.0,0.36,0.71,1.79,0.71,0.36,1.79,34.6,33.6,1.07,0.36,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,28.2,0.36,0.71,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,1.43,1.43,0.36,0.71,0.36,0.71,2.5,28.6,1.79,2.86,1.07,1.79,1.43,2.86,1.07,0.0,46.8,3.21,11.4,22.9,13.2,2.14,45.7,24.6,104.3,43.6,1.79,0.0,0.0,2.5,0.0,30.4,3.93,1.43,0.0,0.0,2.86,0.36,0.0,0.0,0.0,0.0,6.07,2.5,1.07,70.0,,,,
Suk Hyun-jun,Suk Hyun-jun,KOR,FWMF,Troyes,Ligue 1,30.0,1991,9,0,153,1.7,0.0,4.71,1.18,25.0,0.0,0.0,12.9,0.0,0.0,0.0,78.0,252.9,71.8,10.6,14.1,75.0,5.29,5.88,90.0,0.59,0.59,100.0,0.0,1.18,2.35,1.18,0.59,1.76,24.1,22.4,1.76,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,18.8,0.0,1.18,3.53,2.35,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,1.18,0.0,0.0,1.18,0.0,41.2,1.18,1.76,20.6,22.4,7.65,39.4,27.6,152.9,78.8,4.12,1.76,1.18,2.94,4.12,31.2,5.88,0.0,0.0,0.0,4.12,2.35,0.0,0.0,0.0,0.0,4.71,5.88,4.12,58.8,,,,
Pierre Højbjerg,Pierre Hojbjerg,DEN,MF,Tottenham,Premier League,26.0,1995,36,36,3196,35.5,0.06,0.87,0.28,32.3,0.06,0.2,21.9,0.03,0.0,0.0,89.4,1208.5,310.3,24.9,26.9,92.6,28.5,30.8,92.2,8.34,10.8,77.1,0.06,0.85,6.39,0.99,0.11,5.72,70.0,67.5,2.48,2.0,0.2,2.37,0.59,0.06,0.0,0.0,0.0,0.31,62.6,0.17,0.51,2.28,1.89,0.08,0.14,0.03,0.06,0.08,0.14,0.14,0.0,0.0,0.0,0.0,0.0,2.37,1.38,0.79,1.27,0.31,0.82,2.25,36.3,1.44,2.06,0.37,1.69,1.97,4.34,1.72,0.0,80.1,3.46,21.1,50.1,13.5,0.96,77.9,56.5,249.1,125.4,4.06,1.1,0.2,0.68,0.76,58.3,1.44,0.08,0.0,0.0,1.24,1.32,0.0,0.0,0.0,0.0,10.6,0.99,0.56,63.6,,,,
Robert Ibáñez,Robert Ibanez,ESP,MF,Osasuna,La Liga,29.0,1993,4,1,93,1.0,0.0,3.0,0.0,0.0,0.0,0.0,17.2,0.0,0.0,0.0,82.9,515.0,195.0,17.0,20.0,85.0,10.0,12.0,83.3,2.0,2.0,100.0,0.0,2.0,2.0,3.0,0.0,7.0,41.0,40.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,2.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,68.0,0.0,10.0,23.0,37.0,7.0,67.0,47.0,207.0,115.0,5.0,0.0,1.0,6.0,3.0,45.0,6.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,,,,
Iglesias,Iglesias,ESP,DF,Getafe,La Liga,23.0,1998,20,7,719,8.0,0.0,0.63,0.0,0.0,0.0,0.0,34.9,0.0,0.0,0.0,52.0,532.6,285.9,7.13,9.13,78.1,7.88,13.8,57.3,6.88,17.5,39.3,0.13,1.0,1.75,1.0,0.5,2.75,42.8,30.0,12.8,0.88,0.0,2.5,3.38,0.5,0.25,0.25,0.0,11.4,22.3,0.13,2.38,2.0,1.25,0.25,0.13,0.0,0.38,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,2.63,1.88,1.5,1.13,0.0,0.63,2.25,27.8,1.63,2.63,0.25,2.38,2.25,4.88,2.75,0.0,55.5,2.88,17.4,28.0,13.8,0.25,43.4,25.0,130.8,64.8,3.13,1.25,0.0,1.13,0.63,22.1,1.13,0.13,0.0,0.0,2.5,2.38,0.13,0.0,0.0,0.0,9.63,1.38,2.5,35.5,,,,
Juan Ignacio Ramírez,Juan Ignacio Ramirez,URU,FW,Saint-Étienne,Ligue 1,25.0,1997,5,1,126,1.4,0.0,1.43,0.0,0.0,0.0,0.0,10.6,0.0,0.0,0.0,69.2,105.7,46.4,2.86,3.57,80.0,1.43,2.86,50.0,1.43,2.14,66.7,0.0,0.0,0.71,0.0,0.0,1.43,9.29,7.86,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,0.0,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,1.43,0.0,1.43,0.71,1.43,1.43,100.0,0.0,0.0,0.0,0.0,0.71,2.86,0.0,0.0,14.3,0.0,0.71,6.43,7.14,3.57,12.9,7.14,12.1,5.0,0.0,0.0,0.0,0.71,2.14,6.43,4.29,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,3.57,1.43,3.57,28.6,,,,
Danylo Ihnatenko,Danylo Ihnatenko,UKR,MF,Bordeaux,Ligue 1,25.0,1997,11,7,692,7.7,0.0,1.56,0.13,8.3,0.0,0.0,27.7,0.13,0.0,0.0,82.8,833.9,175.2,14.5,17.0,85.5,16.2,20.0,81.2,8.44,10.0,84.4,0.39,1.82,4.55,1.04,0.13,4.16,48.4,46.9,1.56,0.91,0.13,1.82,0.65,0.26,0.0,0.13,0.0,0.26,40.1,0.13,0.52,3.12,2.34,0.39,0.13,0.26,0.0,0.0,0.52,0.26,0.13,0.0,0.13,0.0,0.0,2.6,1.17,1.3,0.91,0.39,0.78,2.08,37.5,1.3,1.43,0.26,1.17,1.56,4.16,2.34,0.0,59.6,2.86,12.5,37.4,13.2,0.65,58.2,33.9,190.1,101.7,4.29,1.43,0.13,1.3,0.91,39.0,1.82,0.39,0.13,0.0,2.08,0.91,0.0,0.0,0.0,0.0,9.74,2.34,0.78,75.0,,,,
